64.0,103.0,128.0,132.0,385.0,386.0,468.0,642.0,787.0,1017.0,1075.0,1135.0,1167.0,1316.0,1583.0,1658.0,1823.0,1849.0,1877.0,1966.0,2006.0,2164.0,2341.0,2379.0,2467.0,2482.0,2523.0,2527.0,2562.0,2731.0,3163.0,3254.0,3506.0,3561.0,3674.0,3800.0,3852.0,3999.0,4082.0,4127.0,4157.0,4428.0,4484.0,4493.0,4540.0,4561.0,4562.0,4601.0,4676.0,102.0,312.0,653.0,1168.0,1240.0,1245.0,1293.0,1394.0,1798.0,1878.0,1960.0,2008.0,2343.0,2366.0,2509.0,3451.0,6046.0
801,5227,10459,3853,3476,3925,12944,10477,15447,0,806,11766,7761,1413,5209,3459,11174,11911,4805,2385,11647,3775,3834,2946,11799,8348,15846,2337,9761,9677,11794,2142,1766,1878,7825,16027,6791,4425,11385,3363,10080,10722,9687,4040,12448,2113,3229,2739,3271,19277,17105,17195,11274,17610,17893,10907,17607,19736,15635,17535,17817,17566,17577,20229,20192,21188
1152,5422,12394,3762,3671,4120,12853,10401,15643,806,0,10482,8780,1162,5813,3025,11704,10627,5928,3305,11362,3341,4438,2512,10515,9367,16353,1902,9477,9393,12856,2746,2351,2483,7540,16533,7395,5029,11100,3968,10806,10437,10413,4644,12163,1647,2794,3343,2836,20339,18167,18257,11878,18672,18955,11512,18669,29929,16697,18597,18879,18627,18639,30422,21254,22249
10620,10452,6560,8239,12705,11533,5046,2215,10615,11766,10482,0,6780,9833,9965,12540,5894,764,9251,12820,3470,12856,10135,12027,652,7366,11029,11418,3714,3052,7746,11245,9813,12037,4505,11210,10866,10148,5268,10321,5063,2522,4670,9356,2936,10001,12310,9886,12352,18445,16274,16364,17170,16778,17061,17301,16776,15901,14803,16703,16985,16734,16745,16395,19360,20175
6882,4171,2897,6258,6927,5839,7286,7046,8259,7761,8780,6780,0,7910,3600,10760,4918,6690,3792,9150,6389,11076,4705,10247,6578,587,8624,9638,4504,4453,3365,6590,6317,7382,3710,8805,4307,4189,6127,5649,3823,5984,3431,4368,7224,9382,10530,5232,10572,13173,11002,11092,8884,11506,11789,9015,11504,11882,9531,11431,11713,11462,11473,12375,14088,16156
1783,5279,11081,1909,4777,3973,11541,9073,15151,1413,1162,9833,7910,0,5296,3647,11016,9939,4892,3927,10674,3963,3921,3134,9827,8435,15934,2525,8788,8704,12168,2384,1785,2776,6852,16115,6878,4513,10412,3482,10168,9749,9775,4128,11475,2269,3417,2827,3459,19651,17479,17569,12595,17983,18266,12229,17981,29241,16008,17908,18190,17939,17950,29734,20565,21561
4329,571,6087,3706,3688,2600,10743,9205,11448,5209,5813,9965,3600,5296,0,7736,8636,10298,1180,6951,10108,7955,1511,8159,10186,4232,11889,7549,8222,8172,6598,3336,3752,3897,7192,12070,2466,996,9846,2331,7542,9703,7149,1820,10942,7294,8375,2667,8417,14605,12433,12523,7731,12938,13220,7862,12935,15147,10963,12863,13145,12893,12904,15640,15520,16515
3806,7652,13790,5158,5597,6046,14249,11781,17860,3459,3025,12540,10760,3647,7736,0,14192,13136,8416,1469,13851,730,6703,1586,13025,10895,18841,1126,11965,11881,15344,4742,4375,4093,10028,19022,9174,6945,13588,5663,13294,12925,12901,6588,14597,3338,1763,5287,1805,22827,20655,20745,13615,21160,21443,13249,21157,32353,19185,21085,21367,21116,21127,32846,23742,24738
10295,8935,4732,9460,11334,10530,4140,7574,5835,11174,11704,5894,4918,11016,8636,14192,0,6370,7791,12679,4466,14394,8796,13565,6259,3494,5995,12956,2609,4134,4727,10119,9845,10911,4871,6176,7945,9049,3238,9177,1873,4496,1547,7896,6549,12700,13848,8760,13890,15241,13328,13418,14224,13833,14115,14355,13830,9253,11858,13758,14040,13788,13799,9746,14307,13526
10765,10597,6520,8383,12850,11678,5006,2567,10575,11911,10627,764,6690,9939,10298,13136,6370,0,9389,12958,3431,12994,10274,12166,350,7326,10989,11556,3674,3012,7706,11383,9951,12175,4465,11170,11004,10287,5228,10460,5023,2482,4630,9494,2896,10139,12448,10025,12490,18584,16412,16502,17308,16917,17199,17439,16914,17453,14942,16842,17124,16872,16883,17946,19499,21726
3926,1404,6279,3302,4055,2968,10028,8491,11851,4805,5928,9251,3792,4892,1180,8416,7791,9389,0,6190,9226,8106,1362,7277,9305,4389,12045,6668,7341,7290,6755,3630,3356,4421,6311,12226,3311,1363,8964,2688,6661,8821,6268,1407,10061,6412,7560,2271,7602,14761,12590,12680,7888,13094,13377,8019,13092,15303,11119,13019,13301,13050,13061,15796,15676,16672
2220,6867,11751,5437,4812,5261,14529,12060,16739,2385,3305,12820,9150,3927,6951,1469,12679,12958,6190,0,12856,1764,5192,1770,12053,9705,17204,1415,10971,10886,13152,3500,3185,3233,9034,17385,8314,5783,12594,4721,11438,11931,11045,5398,13625,2367,2052,4097,2094,20635,18463,18553,12755,18968,19251,12389,18965,31381,16993,18893,19175,18924,18935,31874,21550,22546
11500,10407,6219,9119,13168,12364,2661,5150,7428,11647,11362,3470,6389,10674,10108,13851,4466,3431,9226,12856,0,13682,10150,12853,3499,6990,7500,12244,1801,2744,7369,11811,10638,12602,4159,7681,10838,10043,1881,10830,3167,1654,3834,9250,3194,12254,13136,10115,13178,18503,17081,17171,17977,17586,17869,18108,17583,12515,15611,17511,17793,17541,17552,13008,17569,16788
4122,7871,14106,5473,5816,6265,14565,12096,18176,3775,3341,12856,11076,3963,7955,730,14394,12994,8106,1764,13682,0,7096,1407,12846,11676,18662,1420,11787,11702,15166,5036,5191,4388,9850,18843,9469,7240,13410,5958,13115,12747,12722,7302,14418,3160,2059,6001,2101,22649,20477,20567,13909,20982,21264,13543,20979,32174,19007,20906,21189,20937,20948,32667,23563,24559
2955,1427,7191,2331,2662,1591,11033,9376,12856,3834,4438,10135,4705,3921,1511,6703,8796,10274,1362,5192,10150,7096,0,6214,10310,5337,12994,5604,8156,8105,7703,1623,2336,2892,6936,13174,3094,728,9779,912,7476,9636,7083,933,11882,5380,6496,1251,6538,15710,13538,13628,6285,14042,14325,6170,14040,16251,12067,13967,14249,13998,14009,16745,16624,17620
3293,7563,13277,4645,5953,6402,13736,11268,17347,2946,2512,12027,10247,3134,8159,1586,13565,12166,7277,1770,12853,1407,6214,0,11988,10818,17804,846,10928,10844,14307,4546,4332,4384,8991,17985,9194,6829,12551,5767,12257,11888,11864,6444,13560,2301,1200,5143,1242,21790,19618,19708,13905,20123,20406,13539,20120,31316,18148,20048,20330,20079,20090,31809,22705,23701
10653,10485,6408,8272,12738,11566,4894,2455,10463,11799,10515,652,6578,9827,10186,13025,6259,350,9305,12053,3499,12846,10310,11988,0,7215,10877,11445,3562,2901,7594,11272,9840,12063,4353,11058,10892,10175,5116,10348,4911,2371,4518,9382,2785,10028,12337,9913,12379,18472,16300,16390,17197,16805,17088,17328,16803,15750,14830,16730,17012,16761,16772,16243,19387,20024
7468,4758,2774,6845,7513,6426,7873,8998,8135,8348,9367,7366,587,8435,4232,10895,3494,7326,4389,9705,6990,11676,5337,10818,7215,0,8501,10225,4837,4787,3242,7177,6903,7969,4297,8682,4894,4776,6460,6236,4410,6317,3537,4954,7557,9969,11116,5818,11159,13050,10878,10968,11774,11383,11665,11905,11380,11759,9408,11308,11590,11338,11349,12252,13965,16032
